celegansneural      297      2345      57       0.000033
foldoc              13356    120238    71       0.001220
language            399130   1216334   2456     0.984748
eu-2005             862664   19235140  90768    2.959949
wiki-topcats        1791489  28511807  1        23.017762
sx-stackoverflow    2601977  36233450  953658   16.009078
wikipedia-20060925  2983494  37269096  975731   34.077497
wikipedia-20061104  3148440  39383235  1040035  31.995370
wikipedia-20070206  3566907  45030389  1203340  39.983680
