celegansneural      297      2345      57       0.000067
foldoc              13356    120238    71       0.000875
language            399130   1216334   2456     0.048894
eu-2005             862664   19235140  90768    1.958660
wiki-topcats        1791489  28511807  1        16.047162
sx-stackoverflow    2601977  36233450  953658   11.038804
wikipedia-20060925  2983494  37269096  975731   20.069323
wikipedia-20061104  3148440  39383235  1040035  18.977471
wikipedia-20070206  3566907  45030389  1203340  23.040198
