celegansneural      297      2345      57       0.000386
foldoc              13356    120238    71       0.000822
language            399130   1216334   2456     0.947167
eu-2005             862664   19235140  90768    1.962060
wiki-topcats        1791489  28511807  1        14.039052
sx-stackoverflow    2601977  36233450  953658   11.999294
wikipedia-20060925  2983494  37269096  975731   25.955223
wikipedia-20061104  3148440  39383235  1040035  21.974907
wikipedia-20070206  3566907  45030389  1203340  25.991918
